X,Y,OBJECTID_1,GIS_ID,NAME,WEB_URL,EXIT_TO_ST,FEATURECOD,DESCRIPTIO,CAPTUREYEA,LINE,ADDRESS_ID
-77.080087857949323,38.94828420567076,57,mstn_036,Tenleytown | AU,http://www.wmata.com/rail/station_detail.cfm?station_id=10,NW CORNER OF ABLEMARLE STREET NW AND WISCONSIN AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294846
-77.021567422353272,38.897544239524471,58,mstn_019,Gallery Pl | Chinatown,http://www.wmata.com/rail/station_detail.cfm?station_id=21,NE CORNER OF 7TH STREET NW AND F STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"red, green, yellow",294833
-76.937449257309268,38.89040523258587,59,mstn_002,Benning Road,http://www.wmata.com/rail/station_detail.cfm?station_id=90,NE CORNER OF BENNING ROAD NE AND CENTRAL AVENUE NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294851
-76.987620431353477,38.844654667790941,60,mstn_008,Congress Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=86,SOUTH SIDE OF ALABAMA AVENUE SE AT 13TH STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,green,294865
-77.015962191245976,38.885002134546589,61,mstn_014,Federal Center SW,http://www.wmata.com/rail/station_detail.cfm?station_id=58,SOUTH SIDE OF D STREET SW BETWEEN 3RD STREET SW AND 4TH STREET SW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294808
-77.029123999185657,38.916830808420201,62,mstn_005,U St | African Amer Civil | War Mem | Cardozo,http://www.wmata.com/rail/station_detail.cfm?station_id=73,SE CORNER  OF U STREET NW AND 13TH STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green,yellow",294840
-77.020828045373719,38.884689341884147,63,mstn_022,LEnfant Plaza,http://www.wmata.com/rail/station_detail.cfm?station_id=82,SOUTH SIDE OF D STREET SW BETWEEN 6TH STREET SW AND 7TH STREET SW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green, yellow, orange, blue",294875
-77.007133287011058,38.876278315014531,64,mstn_028,Navy Yard-Ballpark,http://www.wmata.com/rail/station_detail.cfm?station_id=84,NW CORNER OF HALF STREET SE AND M STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,green,294869
-76.996022894293233,38.864435982096232,65,mstn_001,Anacostia,http://www.wmata.com/rail/station_detail.cfm?station_id=85,NE CORNER OF HOWARD ROAD SE AND I - 295 SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,green,294867
-76.98777759963761,38.845397673862038,66,mstn_008,Congress Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=86,NORTH SIDE OF ALABAMA AVENUE SE AT 13TH STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,green,294865
-77.028437439652137,38.889078278016797,67,mstn_033,Smithsonian,http://www.wmata.com/rail/station_detail.cfm?station_id=54,NW CORNER OF JEFFERSON DRIVE SW AND 12TH STREET SW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294876
-77.034857157214645,38.901162139071047,68,mstn_023,McPherson Sq,http://www.wmata.com/rail/station_detail.cfm?station_id=36,SW CORNER OF VERMONT AVENUE NW AND I STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294841
-76.995466453422495,38.862169452951747,69,mstn_001,Anacostia,http://www.wmata.com/rail/station_detail.cfm?station_id=85,INTERSECTION OF HOWARD ROAD SE AND SHANNON PLACE SE,1370,Metro Station Entrance,2012-06-14T00:00:00.000Z,green,294867
-77.003828526913537,38.90571764135273,70,mstn_029,NoMa-Gallaudet U,http://www.wmata.com/rail/station_detail.cfm?station_id=108,NORTH SIDE OF M STREET NE AT INTERSECTION WITH DELAWARE AVENUE NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294857
-77.022081004125496,38.893877225665328,71,mstn_027,Archives | Navy Mem Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=81,NE CORNER OF 7TH STREET NW AND PENNSYLVANIA AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green,yellow",294835
-77.006075775254999,38.885180683476186,72,mstn_004,Capitol South Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=59,WEST SIDE OF 1ST STREET SE BETWEEN C STREET SE AND D STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294860
-77.058437113427345,38.935776981251422,73,mstn_006,Cleveland Park Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=8,EAST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294817
-76.996040452001253,38.884261123217705,74,mstn_011,Eastern Market Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=60,SOUTH SIDE OF PENNSYLVANIA AVENUE SE BETWEEN 7TH STREET SE AND 8TH STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294870
-77.028315817087815,38.893777401108061,75,mstn_015,Federal Triangle Elevator,http://www.wmata.com/rail/station_detail.cfm?station_id=53,RONALD REAGAN BUILDING - WEST SIDE OF 12TH STREET NW BETWEEN PENNSYLVANIA AVENUE NW AND CONSTITUTION AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294809
-77.02378099001487,38.898165918454843,76,mstn_019,Gallery Pl | Chinatown,http://www.wmata.com/rail/station_detail.cfm?station_id=21,SE CORNER OF 9TH STREET NW AND G STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"red, green, yellow",294833
-77.021655681434339,38.899640054837334,77,mstn_019,Gallery Pl | Chinatown,http://www.wmata.com/rail/station_detail.cfm?station_id=21,SE CORNER OF 7TH STREET NW AND H STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"red, green, yellow",294833
-77.027893882010915,38.898526550383629,78,mstn_024,Metro Center,http://www.wmata.com/rail/station_detail.cfm?station_id=1,NE CORNER OF G STREET NW AND 12TH STREET NW ,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"red, blue, orange",294812
-77.029452222048846,38.898141132401399,79,mstn_024,Metro Center,http://www.wmata.com/rail/station_detail.cfm?station_id=1,SE CORNER OF G STREET NW AND 13TH STREET NW ,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"red, blue, orange",294812
-77.028375551521492,38.897127651608422,80,mstn_024,Metro Center,http://www.wmata.com/rail/station_detail.cfm?station_id=1,SW CORNER OF F STREET NW AND 12TH STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"red, blue, orange",294812
-77.040130222461812,38.903589847485492,81,mstn_012,Farragut North,http://www.wmata.com/rail/station_detail.cfm?station_id=4,SW CORNER OF L STREET NW AND CONNECTICUT AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294828
-77.039179553620855,38.902781481058803,82,mstn_012,Farragut North,http://www.wmata.com/rail/station_detail.cfm?station_id=4,NE CORNER OF 17TH STREET NW AND K STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294828
-77.059006889352034,38.936145516843808,83,mstn_006,Cleveland Park,http://www.wmata.com/rail/station_detail.cfm?station_id=8,WEST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294817
-77.063525773465287,38.944555526517277,84,mstn_038,Van Ness | UDC,http://www.wmata.com/rail/station_detail.cfm?station_id=9,NW CORNER OF CONNECTICUT AVENUE NW AND VEAZEY TERRACE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294824
-77.063995966006274,38.944476177278418,85,mstn_038,Van Ness | UDC,http://www.wmata.com/rail/station_detail.cfm?station_id=9,NE CORNER OF CONNECTICUT AVENUE AND VEAZEY TERRACE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294824
-77.02471477373291,38.937128794450501,86,mstn_020,Georgia Ave | Petworth,http://www.wmata.com/rail/station_detail.cfm?station_id=76,WEST SIDE OF GEORGIA AVENUE NW BETWEEN QUINCY STREET NW AND NEW HAMPSHIRE AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green,yellow",294832
-77.024160806783897,38.93695142877452,87,mstn_020,Georgia Ave | Petworth,http://www.wmata.com/rail/station_detail.cfm?station_id=76,NE CORNER OF GEORGIA AVENUE NW AND NEW HAMPSHIRE AVE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green,yellow",294832
-77.033032040432815,38.928618916879053,88,mstn_007,Columbia Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=75,SW CORNER OF IRVING STREET NW AND 14TH STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green,yellow",294815
