X,Y,OBJECTID,X,Y,WARD,SPACENUM,ZIPCARID,LOCATION,LANDMARK,ADDRESS,STATUS,VENDOR
-77.041683111160225,38.918351149848917,47,396385.37500255,138942.38999906,1,5,010518TH,"On 18th St, at Wyoming Ave (2100 18th St NW)","In front of Marie Reed, near tennis courts",2156 18th Street NW,1,Hertz
-77.040863348042834,38.920180257557426,48,396456.55699178,139145.40414358,1,6,0106CHMP,On Champlain St at Kalorama Rd,"Across from 2203 Champlain St; behind Marie Reed School",2294 Champlain Street NW,1,Zipcar
-77.043579027217064,38.917825903551815,49,396220.93046307,138884.16008342,1,7,0107CALI,On California St at 19th St (north side),Across from 1875 California St,1875 California Street NW,1,Zipcar
-77.04174710121849,38.919810055879758,50,396379.89974655,139095.6037602,1,8,010818TH,2300 18th St NW (east side),In front of San Marco restaurant & dentist office,2305 18th Street NW,1,Zipcar
-77.0452163336887,38.918379530310169,51,396078.97010091,138945.6863267,1,10,0110CLMB,1930 Columbia Rd,In front of Gelmarc Towers,1930 Columbia Road NW,1,Zipcar
-77.0417230604818,38.919731335613733,52,396381.98058962,139095.6037602,1,9,010918TH,2305 18th St NW (east side),In front of San Marco restaurant & dentist office,2305 18th Street NW,1,Hertz
-77.038570738493235,38.931812876236798,53,396654.25567313,140436.63728774,1,11,0111MTPL,3251 Mt Pleasant St,In front of Habitat Real Estate,3251 Mt Pleasant Street NW,1,Zipcar
-77.038589915035516,38.931861195539483,54,396654.25567313,140442.00186096,1,12,0112MTPL,3251 Mt Pleasant St,In front of Habitat Real Estate,3251 Mt Pleasant Street NW,1,Zipcar
-77.03675278688263,38.927240997642699,55,396811.88331707,139929.05452727,1,13,0113MTPL,3010 Mt Pleasant St,In front of Embassy Apts.,3010 Mt Pleasant Street NW,1,Zipcar
-77.036769580417229,38.927284146134845,56,396811.88331707,139933.84490833,1,14,0114MTPL,In front of 3010 Mt Pleasant St,In front of Embassy Apts.,3010 Mt Pleasant Street NW,1,Zipcar
-77.031901590249319,38.921378995584391,57,397233.05780004,139278.16439066,1,15,011514TH,2400 block of 14th St. (west side),2 spaces closest to Chapin St and the fire hydrant,2460 14th Street NW,1,Hertz
-77.031909725590538,38.921441274674685,58,397233.05780004,139285.07810918,1,16,011614TH,2400 block of 14th St (west side),2 spaces closest to Chapin St and the fire hydrant,2460 14th Street NW,1,Hertz
-76.993696885469447,38.932413914766713,59,400546.70609441,140502.67008452,5,53,0553MONR,On Monroe St NE at 9th St,"Near CUA/Brookland Metro, across from Brooks Mansion",901 Monroe Street Ne,1,Hertz
-76.993661058292602,38.932413912829752,60,400549.81252258,140502.67008452,5,54,0554MONR,On Monroe St NE b/t 9th St & 10th St,"Near CUA/Brookland Metro, across from Brooks Mansion",901 Monroe Street NE,1,Hertz
-76.980936751013417,38.901235083877971,61,401653.78899944,137037.26695922,5,55,0555MARY,"On Maryland Ave b/t 17th St and Neal Rd, next to fire hydrant",Next to Hechinger Mall,1601 Maryland Avenue NE,1,Hertz
-76.980824535021512,38.901195007033756,62,401663.52381712,137037.26695922,5,56,0556MARY,"On Maryland Ave b/t 17th St and Neal Rd; next to fire hydrant",Next to Hechinger Mall,1601 Maryland Avenue NE,1,Hertz
-77.004705593641646,38.910583780446117,63,399584.70429352,138079.89999755,5,57,0557HARR,On Harry Thomas Way at Eckington Pl,Near Sirius XM radio,1500 Block of Harry Thomas Way NE,1,Zipcar
-77.004790604701213,38.910588886409613,64,399584.70429352,138079.89999755,5,58,0558HARR,On Harry Thomas Way at Eckington Pl,Near Sirius XM radio,1500 Block of Harry Thomas Way NE,1,Zipcar
-77.058246407167985,38.935547817389754,65,394944.07694699,140852.15281612,3,33,0333ORDW,On Ordway St at Connecticut Ave (NE corner),Across from California Tortilla,2797 Ordway Street NW,1,Hertz
-77.058690081561494,38.935584068935917,66,394911.73460919,140855.56837554,3,34,0334ORDW,On Ordway St at Connecticut Ave (NW corner),Across from Alero,2803 Ordway Street NW,1,Hertz
-77.058304850932345,38.935557296513615,67,394944.07694699,140853.20832061,3,35,0335ORDW,On Ordway St at Connecticut Ave (NE corner),Across from California Tortilla,2797 Ordway Street NW,1,Zipcar
-77.058626769800213,38.935576493761616,68,394917.22322519,140855.56837554,3,36,0336ORDW,On Ordway St at Connecticut Ave (NW corner),Across from Alero,2803 Ordway Street NW,1,Zipcar
-77.079293075601868,38.949687765894559,69,393126.80365553,142423.18660179,3,37,0337BRAN,Brandywine St & Wisconsin Ave (NE corner),Across Crivella Investment at 4027 Brandywine & Supercuts,4027 Brandywine Street NW,1,Hertz
-77.078518182354472,38.948105655481328,70,393193.66706751,142238.92828298,3,39,0339FDRI,On 40th St & Albemarle St,Behind Hollywood video,4505 Fort Drive NW,1,Zipcar
-77.079207557555918,38.949687823868388,71,393134.21664497,142423.18660179,3,38,0338BRAN,Brandywine St & Wisconsin Ave (NE corner),Across Crivella Investment at 4027 Brandywine & Supercuts,4027 Brandywine Street NW,1,Hertz
-77.078519895468503,38.948028437018714,72,393193.66706751,142238.92828298,3,40,0340FDRI,On 40th St & Albemarle St,Behind Hollywood video,4505 Fort Drive NW,1,Zipcar
-77.063141186987238,38.943165540815428,73,394526.40345683,141697.69098515,3,41,0341VNES,On Van Ness St at Connecticut Ave (NW corner),Next to UDC,3106 Van Ness Street NW,1,Hertz
-77.071324867764659,38.945531366109321,74,393817.15441617,141961.7517752,3,43,0343WIND,On Windom Pl at Connecticut Ave (NW corner),Next to Blockbuster,3636 Windom Place NW,1,Hertz
-77.063055400501,38.943162180863325,75,394533.84013614,141697.69098515,3,42,0342VNES,On Van Ness St at Connecticut Ave (NW corner),Next to UDC,3106 Van Ness Street NW,1,Hertz
-77.071248087581878,38.945536209844668,76,393823.81080393,141961.7517752,3,44,0344WIND,On Windom Pl at Connecticut Ave (NW corner),Next to Blockbuster,3636 Windom Place NW,1,Hertz
-77.01803625203901,38.974267090401717,77,398437.46084461,145148.88918011,4,45,04454TH,4th Street at Blair Road,"Across from DC Floors, 6918 Blair; near Takoma Metro",6919 4th Street NW,1,Hertz
-77.018034330219677,38.974316904537723,78,398437.46084461,145154.41897949,4,46,04464TH,On 4th at Blair Rd,"Across DC Floors at 6918 Blair; near Takoma Metro",6919 4th Street NW,1,Zipcar
-77.02379630888467,38.94192274738684,79,397937.22796623,141558.48380633,4,47,0447UPSH,"On Upshur, near intersection with 9th St","In front of 825 and 829 Upshur; near Georgia Ave Metro",825 Upshur Street NW,1,Zipcar
-77.023862322167503,38.941920788137793,80,397931.50498104,141558.26781187,4,48,0448UPSH,"On Upshur St, near intersection with 9th St","In front of 825 and 829 Upshur St; near Georgia Ave Metro",829 Upshur Street NW,1,Hertz
-77.014157001729657,38.974165201926432,81,398773.44224466,145137.51933258,4,49,0449WILW,On 6900 block Willow St NW (west side),Next to fire hydrant,Approximately 6920 Willow Street NW,1,Hertz
-77.014282207799781,38.973988990723164,82,398762.58965525,145117.95988176,4,50,0450WILW,On 6900 block of Willow St NW (west side),Next to fire hydrant,Approximately 6918 Willow Street NW,1,Hertz
-77.022498963654812,38.956379009036176,83,398050.09407718,143163.23057954,4,51,0451KENN,700 block of Kennedy St NW,In front of Tienda Latina,708 Kennedy Street NW,1,
