X,Y,OBJECTID,LINE,STOP,POINT_X,POINT_Y
-77.005845960176757,38.89063008981406,41,Union Station - Navy Yard,1ST STREET AND MARYLAND AVENUE NE,399493.03037,135864.319125
-77.052222873611584,38.924497760672558,42,Woodley Park - Adams Morgan - McPherson Square,CONNECTICUT AVENUE AND 24TH STREET NW,395471.741125,139625.185625
-77.052539180125038,38.924278116497234,43,Woodley Park - Adams Morgan - McPherson Square,24TH STREET AND CONNECTICUT AVENUE NW,395444.298875,139600.819
-77.06529563324581,38.910938560642983,44,Georgetown - Union Station,Q STREET AND WISCONSIN AVENUE NW,394333.1223125,138126.757875
-77.062256360541525,38.905091642827237,45,Georgetown - Union Station,M STREET AND WISCONSIN AVENUE NW,394603.95012,137471.48912
-77.046935309236531,38.901297024040637,46,Georgetown - Union Station,PENNSYLVANIA AVENUE AND 21ST STREET NW,395928.923,137049.4636875
-77.043685171811532,38.902452084744979,47,Georgetown - Union Station,K STREET AND 19TH STREET NW,396209.51337,137178.9356875
-77.036792131312041,38.902455101421545,48,Georgetown - Union Station,K STREET AND 16TH STREET NW,396810.9111875,137178.310375
-77.026606603749727,38.902443222758116,49,Georgetown - Union Station,K STREET AND 11TH STREET NW,397692.318,137175.990625
-77.024601597457817,38.902098679300643,50,Georgetown - Union Station,NEW YORK AVENUE AND 9TH STREET NW,397867.38737501,137139.0846875
-76.994869695612934,38.882939326691115,51,Union Station - Navy Yard,8TH STREET AND E STREET SE,400444.165,134979.75512
-76.975024276698747,38.863922143549892,52,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND MARBURY PLAZA SE,402167.784,132899.81562
-77.00380046618271,38.895250219041763,53,Union Station - Navy Yard,MASSACHUSETTS AVE & 2ND ST NE,399670.5090625,136377.18037
-77.018744911438418,38.901152100737733,54,Georgetown - Union Station,MASSACHUSETTS AVENUE AND 5TH STREET NW,398374.21862,137032.4963125
-77.013071557196227,38.899230116057865,55,Georgetown - Union Station,MASSACHUSETTS AVENUE AND NEW JERSEY AVENUE NW,398866.3086875,136819.054875
-77.01283577829193,38.898868046031616,56,Georgetown - Union Station,MASSACHUSETTS AVENUE AND NEW JERSEY AVENUE NW,398886.75562,136778.8593125
-77.021550184027959,38.901951509544055,57,Georgetown - Union Station,MASSACHUSETTS AVENUE AND 7TH STREET NW,398167.1945,137105.5258125
-77.039760520040318,38.902452746616525,58,Georgetown - Union Station,K STREET AND 17TH STREET NW,396558.5495,137179.3131875
-77.047322289993502,38.905655801885644,59,Dupont Circle - Rosslyn,NEW HAMPSHIRE AVENUE AND M STREET NW,395877.680125,137509.7161875
-77.065818020245388,38.905214234452231,60,Dupont Circle - Rosslyn,M STREET AND 33RD STREET NW,394289.445125,137483.4648125
-77.00368979880696,38.887500631389067,61,Union Station - Navy Yard,INDEPENDENCE AVENUE AND 2ND STREET SE,399680.074625,135516.91512
-76.999913676604933,38.886395964902661,62,Union Station - Navy Yard,PENNSYLVANIA AVENUE AND 5TH STREET SE,400007.6875,135394.28212
-77.031696267970574,38.901448594313131,63,Woodley Park - Adams Morgan - McPherson Square,I STREET AND 14TH STREET NW,397249.4008125,137062.9398125
-77.019101839084229,38.901102121407881,64,Georgetown - Union Station,MASSACHUSETTS AVENUE AND 5TH STREET NW,398340.2325,137028.809
-77.005184412515533,38.895985128083311,65,Union Station - Navy Yard,MASSACHUSETTS AVENUE AND COLUMBUS CIRCLE,399551.6201875,136457.84
-76.985320626206786,38.880470056750148,66,Potomac Ave Metro to Skyland,POTOMAC AVENUE and PENNSYLVANIA AVENUE SE,401239.68,134742.120625
-76.990953443906562,38.882750421350629,67,Potomac Ave Metro to Skyland,PENNSYLVANIA AVENUE AND E STREET SE,400752.538,135009.3353125
-76.995012549221883,38.862287343964546,68,Potomac Ave Metro to Skyland,ANACOSTIA METRORAIL STATION,400433.05737,132718.0563125
-76.997616282084792,38.876609264410952,69,Union Station - Navy Yard,600 M STREET SE (NAVY YARD ENTRANCE),400207.0386875,134307.886375
-77.031808274840472,38.909201498032473,70,Woodley Park - Adams Morgan - McPherson Square,14TH STREET AND RHODE ISLAND AVENUE NW,397238.126875,137931.6883125
-77.031805997640902,38.917461575809696,71,Woodley Park - Adams Morgan - McPherson Square,14TH STREET AND U STREET NW,397241.201125,138843.2953125
-77.031810355822799,38.902260425788057,72,Woodley Park - Adams Morgan - McPherson Square,14TH STREET AND K STREET NW,397240.2363125,137159.7825
-76.990405736420257,38.882117525427724,73,Potomac Ave Metro to Skyland,PENNSYLVANIA AVENUE AND 12TH STREET SE,400835.908125,134919.3865
-77.00563031937773,38.887732680746204,74,Union Station - Navy Yard,INDEPENDENCE AVENUE AND FIRST STREET SE,399511.718500003,135542.682999998
-77.033547498483145,38.888416534129171,75,National Mall,15TH STREET AND JEFFERSON DRIVE SW,397089.686499998,135619.115812503
-77.044887878054922,38.885439338628558,76,National Mall,WEST BASIN DRIVE NEAR INDEPENDENCE AVENUE SW,396105.656187505,135289.046812505
-77.05062605310809,38.888482480946713,77,National Mall,LINCOLN MEMORIAL CIRCLE SW,395607.990625001,135627.119562503
-77.047047986404422,38.891991901006392,78,National Mall,CONSTITUTION AVENUE AND 21ST STREET NW,395918.616750009,136016.526437499
-77.028342261130518,38.888605657990922,79,National Mall,JEFFERSON DRIVE AND 12TH STREET SW,397541.288625002,135639.956937499
-77.015043868445531,38.889939714850165,80,National Mall,3RD STREET NEAR MADISON DRIVE NW,398695.051000006,135787.773437504
-77.040432352805823,38.924090653275769,81,Woodley Park - Adams Morgan - McPherson Square,COLUMBIA ROAD AND ONTARIO ROAD NW,396494.12487,139579.47437
-77.022626473631078,38.888662027424736,82,National Mall,JEFFERSON DRIVE AND 7TH STREET SW,398037.178750001,135646.075937506
-77.00483684729214,38.876606186399066,83,Union Station - Navy Yard,M STREET AND NEW JERSEY AVENUE SE,399580.4936875,134307.553125
-77.042774154656286,38.923111949267238,84,Woodley Park - Adams Morgan - McPherson Square,ADAMS MILL ROAD AND COLUMBIA ROAD NW,396278.4476875,139474.866375
-77.069532845325242,38.917627841522112,85,Georgetown - Union Station,35TH STREET AND WISCONSIN AVENUE NW,393970.1426875,138863.568
-77.065180046349425,38.911058736819768,86,Georgetown - Union Station,WISCONSIN AVENUE AND Q STREET NW,394343.6195,138136.615625
-77.066737753058405,38.914026639961854,87,Georgetown - Union Station,WISCONSIN AVENUE AND R STREET NW,394216.65962,138453.1953125
-77.036985465310536,38.902606983765786,88,Georgetown - Union Station,K STREET AND 16TH STREET NW,396792.05387,137194.483
-76.995581067098584,38.88425754055433,89,Union Station - Navy Yard,PENNSYLVANIA AVENUE AND 8TH STREET SE,400383.59787,135156.9098125
-77.064127047330047,38.909073465633639,90,Georgetown - Union Station,WISCONSIN AVENUE AND P STREET NW,394438.279312499,137913.618625
-77.064127047330047,38.909073465633639,91,Georgetown - Union Station,WISCONSIN AVENUE AND N STREET NW,394438.279312499,137913.618625
-76.999571203478794,38.885869723167794,92,Union Station - Navy Yard,PENNSYLVANIA AVENUE AND 5TH STREET SE,400037.40087,135335.8653125
-77.066866223512235,38.913880779480266,93,Georgetown - Union Station,WISCONSIN AVENUE AND R STREET NW,394201.0938125,138447.4403125
-77.041407301408,38.891889606118248,94,National Mall,CONSTITUTION AVENUE AND 18TH STREET NW,396407.961187504,136004.933812499
-77.033847905651797,38.885706581025225,95,National Mall Route,15TH STREET NEAR MAINE AVENUE SW,397063.512249999,135318.299687505
-77.006074348618569,38.890877997647948,96,Union Station - Navy Yard,1ST STREET AND MARYLAND AVENUE NE,399473.2183125,135891.84012
-76.995082045603908,38.881377614539531,97,"Union Station - Navy Yard; Potomac Avenue Metro to Skyland",8TH STREET AND G STREET SE,400426.6786875,134842.3173125
-77.068025987621937,38.915897110224364,98,Georgetown - Union Station,WISCONSIN AVENUE AND  34TH STREET NW,394100.6778125,138671.344
-77.029770747709449,38.902775887798981,99,Woodley Park - Adams Morgan - McPherson Square,13TH STREET AND K STREET NW,397418.5726875,137229.223375
-77.028927904933369,38.902457485241072,100,Georgetown - Union Station,K STREET AND 12TH STREET NW,397490.9668125,137177.635125
-77.009203494355077,38.897815691127995,101,Georgetown - Union Station,NORTH CAPITOL STREET AND MASSACHUSETTS AVENUE NW,399201.827125,136662.0015
-77.061576645937166,38.905294128565288,102,Dupont Circle - Rosslyn,M STREET AND 31ST STREET NW,394655.244125,137493.00512
-77.060422826471253,38.905117522050283,103,Georgetown - Union Station,M STREET AND THOMAS JEFFERSON STREET NW,394764.6185,137476.571125
-77.02171451094361,38.902188978820853,104,Georgetown - Union Station,MASSACHUSETTS AVENUE AND 7TH STREET NW,398116.6556875,137147.6551875
-77.047533797572385,38.905083162007188,105,Dupont Circle - Rosslyn,NEW HAMPSHIRE AVENUE AND M STREET NW,395872.576125,137472.5651875
