,ROUTES,Longitude,Latitude,OBJECTID,Text
548,"B21,B24,B25,C29V4",-76.7459,38.956706,2549,"Routes: B21,B24,B25,C29V4"
549,"B21,B24,C29V4",-76.746349,38.957382,2550,"Routes: B21,B24,C29V4"
550,"B21,B24,C29V4",-76.75445,38.968193,2551,"Routes: B21,B24,C29V4"
551,17L,-77.30018000000001,38.799986,2552,Routes: 17L
552,17L,-77.300057,38.802285999999995,2553,Routes: 17L
553,17L,-77.30216800000001,38.803990999999996,2554,Routes: 17L
554,"52CV1,52V1,53C,53V1,54C,54V1",-77.033245,38.955774,2555,"Routes: 52CV1,52V1,53C,53V1,54C,54V1"
555,"S1V1,S2CV1,S2CV3",-77.036058,38.952815,2556,"Routes: S1V1,S2CV1,S2CV3"
556,F12,-76.90822299999999,38.916734000000005,2557,Routes: F12
557,F12,-76.91053000000001,38.916592,2558,Routes: F12
558,"F12,F12C",-76.910563,38.91645,2559,"Routes: F12,F12C"
559,F12,-76.905556,38.917193,2560,Routes: F12
560,"F12,F12C",-76.905538,38.916996000000005,2561,"Routes: F12,F12C"
561,"F12,F12C",-76.907864,38.916603,2562,"Routes: F12,F12C"
562,"F12,F12C",-76.903388,38.917415000000005,2563,"Routes: F12,F12C"
563,F12,-76.903334,38.917581,2564,Routes: F12
564,"F12,F12C",-76.89301400000001,38.917952,2565,"Routes: F12,F12C"
565,F12,-76.892638,38.918034999999996,2566,Routes: F12
566,"F12,F12C",-76.890206,38.91758,2567,"Routes: F12,F12C"
567,F12,-76.896608,38.918483,2568,Routes: F12
568,"F12,F12C",-76.896953,38.918337,2569,"Routes: F12,F12C"
569,"F12,F12C",-76.900894,38.917849,2570,"Routes: F12,F12C"
570,F12,-76.900736,38.918063000000004,2571,Routes: F12
571,F12,-76.888746,38.91755,2572,Routes: F12
572,"Z2V2,Z2V4,Z2V5,Z2VS,Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9",-77.004824,39.031353,2573,"Routes: Z2V2,Z2V4,Z2V5,Z2VS,Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9"
573,"Z2V4,Z2V5,Z2VS,Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9",-77.0048,39.030972,2574,"Routes: Z2V4,Z2V5,Z2VS,Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9"
574,"16A,16B,16BV1,16E,16EV1,16H,16HC,16J,16P",-77.116192,38.8543,2575,"Routes: 16A,16B,16BV1,16E,16EV1,16H,16HC,16J,16P"
575,"16A,16L",-77.132103,38.84915,2576,"Routes: 16A,16L"
576,"16A,16B,16BV1,16E,16EV1,16G,16GV1,16H,16HC,16J,16K,16KV1,16P",-77.068501,38.867242,2577,"Routes: 16A,16B,16BV1,16E,16EV1,16G,16GV1,16H,16HC,16J,16K,16KV1,16P"
577,"16A,16B,16BC,16E,16EC,16G,16H,16HV1,16J,16K,16P",-77.0685,38.867411,2578,"Routes: 16A,16B,16BC,16E,16EC,16G,16H,16HV1,16J,16K,16P"
578,"16A,16B,16E,16L",-77.169431,38.837512,2579,"Routes: 16A,16B,16E,16L"
579,"16A,16B,16E,16L",-77.169882,38.837761,2580,"Routes: 16A,16B,16E,16L"
580,"16A,16B,16E,16L",-77.14944100000001,38.841162,2581,"Routes: 16A,16B,16E,16L"
581,"16A,16B,16E,16L",-77.149517,38.840859,2582,"Routes: 16A,16B,16E,16L"
582,"16A,16L",-77.137199,38.846849,2583,"Routes: 16A,16L"
583,"16A,16B,16E,16L",-77.181732,38.835583,2584,"Routes: 16A,16B,16E,16L"
584,"Z29V1,Z29V2",-76.93333299999999,39.104507,2585,"Routes: Z29V1,Z29V2"
585,"16A,16B,16E,16L",-77.140978,38.845212,2586,"Routes: 16A,16B,16E,16L"
586,"16A,16B,16E,16L",-77.140587,38.845187,2587,"Routes: 16A,16B,16E,16L"
587,"16A,16B,16E,16L",-77.152241,38.839247,2588,"Routes: 16A,16B,16E,16L"
588,"16A,16B,16BV1,16E,16EV1,28A",-77.124401,38.85249,2589,"Routes: 16A,16B,16BV1,16E,16EV1,28A"
589,"16A,16B,16BC,16E,16EC,28A,28AV2",-77.1243,38.852881,2590,"Routes: 16A,16B,16BC,16E,16EC,28A,28AV2"
590,"16A,16B,16BC,16E,16EC,28A,28AV2",-77.12266600000001,38.853325,2591,"Routes: 16A,16B,16BC,16E,16EC,28A,28AV2"
591,"16A,16B,16BV1,16E,16EV1,28A",-77.122635,38.853029,2592,"Routes: 16A,16B,16BV1,16E,16EV1,28A"
592,"16A,16B,16E,16L",-77.155502,38.837587,2593,"Routes: 16A,16B,16E,16L"
593,"16A,16B,16E,16L",-77.15555400000001,38.837245,2594,"Routes: 16A,16B,16E,16L"
594,"16A,16L",-77.132366,38.849295,2595,"Routes: 16A,16L"
595,"16A,16B,16E,16L",-77.161527,38.837412,2596,"Routes: 16A,16B,16E,16L"
596,"16A,16B,16E,16L",-77.161495,38.837678000000004,2597,"Routes: 16A,16B,16E,16L"
597,"16A,16B,16E,16L",-77.187302,38.834134000000006,2598,"Routes: 16A,16B,16E,16L"
598,"16A,16B,16BV1,16E,16EV1,16G,16GV1,16H,16HC,16J,16K,16KV1,16P",-77.111115,38.856086,2599,"Routes: 16A,16B,16BV1,16E,16EV1,16G,16GV1,16H,16HC,16J,16K,16KV1,16P"
599,"H2,L1,L2",-77.060283,38.938399,2600,"Routes: H2,L1,L2"
600,"42,43",-77.04574699999999,38.91397,2601,"Routes: 42,43"
