,LINE,STOP,Latitude,Longitude,Text
20,Union Station - Navy Yard; Potomac Ave to Skyland,8TH STREET AND L STREET SE,38.87780643108936,-76.99487567338339,8TH STREET AND L STREET SE. Line: Union Station - Navy Yard; Potomac Ave to Skyland
21,Union Station - Navy Yard,M STREET AND 4TH STREET SE,38.87659840419033,-77.00039431748365,M STREET AND 4TH STREET SE. Line: Union Station - Navy Yard
22,Union Station - Navy Yard,M STREET AND 4TH STREET SE,38.876371263035885,-77.00074729062942,M STREET AND 4TH STREET SE. Line: Union Station - Navy Yard
23,Union Station - Navy Yard,1ST STREET AND I STREET SE,38.87826961358391,-77.0057699704581,1ST STREET AND I STREET SE. Line: Union Station - Navy Yard
24,Union Station - Navy Yard,M STREET and NEW JERSEY AVENUE SE,38.876372891203296,-77.00379175404434,M STREET and NEW JERSEY AVENUE SE. Line: Union Station - Navy Yard
25,Woodley Park - Adams Morgan - McPherson Square,COLUMBIA ROAD AND 14TH STREET NW,38.92754933892928,-77.03305173716001,COLUMBIA ROAD AND 14TH STREET NW. Line: Woodley Park - Adams Morgan - McPherson Square
26,Woodley Park - Adams Morgan - McPherson Square,IRVING STREET AND 14TH STREET NW,38.92872925824617,-77.03288551275048,IRVING STREET AND 14TH STREET NW. Line: Woodley Park - Adams Morgan - McPherson Square
27,Woodley Park - Adams Morgan - McPherson Square,COLUMBIA ROAD AND ONTARIO ROAD NW,38.92452807832685,-77.04006748467276,COLUMBIA ROAD AND ONTARIO ROAD NW. Line: Woodley Park - Adams Morgan - McPherson Square
28,Woodley Park - Adams Morgan - McPherson Square,CALVERT STREET AND CLIFFBOURNE PLACE NW,38.92289374851447,-77.04289707343843,CALVERT STREET AND CLIFFBOURNE PLACE NW. Line: Woodley Park - Adams Morgan - McPherson Square
29,Union Station - Navy Yard,D STREET AND PENNSYLVANIA AVENUE SE,38.88721923875298,-77.00191078513926,D STREET AND PENNSYLVANIA AVENUE SE. Line: Union Station - Navy Yard
30,Union Station - Navy Yard,PENNSYLVANIA AVENUE AND 3RD STREET SE,38.88715242941115,-77.00171766610099,PENNSYLVANIA AVENUE AND 3RD STREET SE. Line: Union Station - Navy Yard
31,Georgetown - Union Station,PENNSYLVANIA AVENUE AND 22ND STREET NW,38.90210207442992,-77.04844998973985,PENNSYLVANIA AVENUE AND 22ND STREET NW. Line: Georgetown - Union Station
32,Georgetown - Union Station,N STREET AND WISCONSIN AVENUE NW,38.90670545853693,-77.06289602586601,N STREET AND WISCONSIN AVENUE NW. Line: Georgetown - Union Station
33,Georgetown - Union Station,K STREET AND 14TH STREET NW,38.90260783023653,-77.03250582904965,K STREET AND 14TH STREET NW. Line: Georgetown - Union Station
34,Georgetown - Union Station,K STREET AND CONNECTICUT AVENUE NW,38.902618975965154,-77.0392247588641,K STREET AND CONNECTICUT AVENUE NW. Line: Georgetown - Union Station
35,Georgetown - Union Station,K STREET AND 19TH STREET NW,38.90260791426,-77.04326877358906,K STREET AND 19TH STREET NW. Line: Georgetown - Union Station
36,Georgetown - Union Station,PENNSYLVANIA AVENUE AND 22ND STREET NW,38.90198086675119,-77.04893410224003,PENNSYLVANIA AVENUE AND 22ND STREET NW. Line: Georgetown - Union Station
37,Georgetown - Union Station,K STREET AND 24TH STREET NW,38.90306054647958,-77.05124024979806,K STREET AND 24TH STREET NW. Line: Georgetown - Union Station
38,Georgetown - Union Station,21ST STREET AND K STREET NW,38.902197296246975,-77.04671918574542,21ST STREET AND K STREET NW. Line: Georgetown - Union Station
39,Georgetown - Union Station,WISCONSIN AVENUE AND 34TH STREET NW,38.915905314045574,-77.06775750292435,WISCONSIN AVENUE AND 34TH STREET NW. Line: Georgetown - Union Station
40,Union Station - Navy Yard,1ST STREET AND MARYLAND AVENUE NE,38.89063008981406,-77.00584596017676,1ST STREET AND MARYLAND AVENUE NE. Line: Union Station - Navy Yard
41,Woodley Park - Adams Morgan - McPherson Square,CONNECTICUT AVENUE AND 24TH STREET NW,38.924497760672566,-77.05222287361157,CONNECTICUT AVENUE AND 24TH STREET NW. Line: Woodley Park - Adams Morgan - McPherson Square
42,Woodley Park - Adams Morgan - McPherson Square,24TH STREET AND CONNECTICUT AVENUE NW,38.92427811649723,-77.05253918012502,24TH STREET AND CONNECTICUT AVENUE NW. Line: Woodley Park - Adams Morgan - McPherson Square
43,Georgetown - Union Station,Q STREET AND WISCONSIN AVENUE NW,38.910938560642975,-77.06529563324581,Q STREET AND WISCONSIN AVENUE NW. Line: Georgetown - Union Station
44,Georgetown - Union Station,M STREET AND WISCONSIN AVENUE NW,38.905091642827244,-77.06225636054151,M STREET AND WISCONSIN AVENUE NW. Line: Georgetown - Union Station
45,Georgetown - Union Station,PENNSYLVANIA AVENUE AND 21ST STREET NW,38.901297024040645,-77.04693530923653,PENNSYLVANIA AVENUE AND 21ST STREET NW. Line: Georgetown - Union Station
